% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
0.121	1	4	13	2	14	28	185	0	0	1
0.122	1	9	13	3	9	28	1692	0	0	0
0.122	1	7	13	3	10	28	549	0	0	0
0.122	1	6	13	3	4	28	373	0	0	1
0.122	1	2	13	3	3	28	185	0	0	1
0.122	1	10	13	3	13	28	549	0	0	1
0.122	1	4	13	3	14	28	1095	0	0	1
0.123	1	7	13	4	10	28	185	0	0	0
0.123	1	3	13	4	1	28	185	0	0	0
0.123	1	9	13	4	9	24	1335	0	0	0
0.123	1	10	13	4	13	28	935	0	0	1
0.123	1	8	13	4	2	28	185	0	0	1
0.123	1	6	13	4	4	26	903	0	0	1
0.124	1	7	13	5	10	22	1383	0	0	0
0.124	1	8	13	5	2	28	185	0	0	1
0.124	1	2	13	5	3	28	549	0	0	1
0.124	1	7	13	5	10	28	549	0	0	1
0.124	1	4	13	5	14	28	935	0	0	1
0.125	1	3	13	6	1	28	1836	0	0	0
0.125	1	1	13	6	8	28	185	0	0	0
0.125	1	7	13	6	10	28	185	0	0	0
0.125	1	8	13	6	2	28	185	0	0	1
0.125	1	2	13	6	3	28	1287	0	0	1
0.125	1	4	13	6	14	28	749	0	0	1
0.126	1	3	13	7	1	28	373	0	0	0
0.126	1	5	13	7	7	28	185	0	0	0
0.126	1	1	13	7	8	26	453	0	0	0
0.126	1	9	13	7	9	28	549	0	0	0
0.126	1	7	13	7	10	28	549	0	0	0
0.126	1	8	13	7	2	26	1527	0	0	1
0.126	1	10	13	7	13	28	373	0	0	1
0.127	1	3	13	8	1	28	373	0	0	0
0.127	1	5	13	8	7	28	935	0	0	0
0.127	1	9	13	8	9	28	935	0	0	0
0.127	1	8	13	8	2	28	1479	0	0	1
0.127	1	2	13	8	3	28	185	0	0	1
0.127	1	10	13	8	13	28	549	0	0	1
0.128	1	3	13	9	1	28	749	0	0	0
0.128	1	5	13	9	7	28	935	0	0	0
0.128	1	9	13	9	9	28	549	0	0	0
0.128	1	8	13	9	2	28	549	0	0	1
0.128	1	6	13	9	4	28	373	0	0	1
0.128	1	10	13	9	13	28	1287	0	0	1
0.129	1	1	13	10	8	26	1692	0	0	0
0.129	1	7	13	10	10	28	185	0	0	0
0.129	1	2	13	10	3	28	185	0	0	1
0.129	1	6	13	10	4	28	2052	0	0	1
0.13	1	3	14	1	1	28	935	0	0	0
0.13	1	1	14	1	8	28	185	0	0	0
0.13	1	9	14	1	9	28	935	0	0	0
0.13	1	7	14	1	10	28	185	0	0	0
0.13	1	2	14	1	3	28	2196	0	0	1
0.131	1	5	14	2	7	28	373	0	0	0
0.131	1	1	14	2	8	28	1095	0	0	0
0.131	1	7	14	2	10	28	749	0	0	0
0.131	1	5	14	2	7	28	185	0	0	1
0.131	1	1	14	2	8	28	373	0	0	1
0.131	1	7	14	2	10	28	185	0	0	1
0.131	1	10	14	2	13	28	185	0	0	1
0.131	1	4	14	2	14	28	1287	0	0	1
0.132	1	5	14	3	7	28	1692	0	0	0
0.132	1	1	14	3	8	28	185	0	0	0
0.132	1	9	14	3	9	28	185	0	0	0
0.132	1	7	14	3	10	28	185	0	0	0
0.132	1	8	14	3	2	28	185	0	0	1
0.132	1	6	14	3	4	28	373	0	0	1
0.132	1	5	14	3	7	28	549	0	0	1
0.132	1	10	14	3	13	28	1095	0	0	1
0.133	1	1	14	4	8	28	185	0	0	0
0.133	1	9	14	4	9	28	373	0	0	0
0.133	1	7	14	4	10	28	1692	0	0	0
0.133	1	8	14	4	2	28	185	0	0	1
0.133	1	10	14	4	13	26	903	0	0	1
0.133	1	4	14	4	14	28	935	0	0	1
0.134	1	9	14	5	9	28	1479	0	0	0
0.134	1	7	14	5	10	28	749	0	0	0
0.134	1	8	14	5	2	28	185	0	0	1
0.134	1	10	14	5	13	28	749	0	0	1
0.134	1	4	14	5	14	28	1287	0	0	1
0.135	1	3	14	6	1	26	749	0	0	0
0.135	1	1	14	6	8	28	1287	0	0	0
0.135	1	8	14	6	2	28	749	0	0	1
0.135	1	2	14	6	3	28	185	0	0	1
0.135	1	6	14	6	4	28	549	0	0	1
0.135	1	10	14	6	13	28	749	0	0	1
0.136	1	3	14	7	1	26	1692	0	0	0
0.136	1	7	14	7	10	28	185	0	0	0
0.136	1	2	14	7	3	28	935	0	0	1
0.136	1	6	14	7	4	28	1287	0	0	1
0.137	1	3	14	8	1	28	1836	0	0	0
0.137	1	5	14	8	7	28	373	0	0	0
0.137	1	3	14	8	1	28	185	0	0	1
0.137	1	8	14	8	2	26	1527	0	0	1
0.137	1	4	14	8	14	28	185	0	0	1
0.138	1	3	14	9	1	26	1692	0	0	0
0.138	1	5	14	9	7	28	185	0	0	0
0.138	1	3	14	9	1	28	185	0	0	1
0.138	1	8	14	9	2	26	1527	0	0	1
0.138	1	4	14	9	14	28	185	0	0	1
0.139	1	5	14	10	7	28	2052	0	0	0
0.139	1	1	14	10	8	28	185	0	0	0
0.139	1	8	14	10	2	28	185	0	0	1
0.139	1	2	14	10	3	28	373	0	0	1
0.139	1	4	14	10	14	28	1692	0	0	1
0.14	1	7	15	1	10	28	1692	0	0	0
0.14	1	1	15	1	8	28	185	0	0	0
0.14	1	9	15	1	9	28	373	0	0	0
0.14	1	2	15	1	3	26	749	0	0	1
0.14	1	6	15	1	4	28	1095	0	0	1
0.14	1	9	15	1	9	28	185	0	0	1
0.141	1	1	15	2	8	18	903	0	0	0
0.141	1	9	15	2	9	28	185	0	0	0
0.141	1	2	15	2	3	26	903	0	0	1
0.141	1	1	15	2	8	18	485	0	0	1
0.142	1	1	15	3	8	18	485	0	0	0
0.142	1	9	15	3	9	28	1095	0	0	0
0.142	1	10	15	3	13	28	749	0	0	1
0.142	1	2	15	3	3	28	549	0	0	1
0.142	1	1	15	3	8	18	325	0	0	1
0.142	1	9	15	3	9	28	185	0	0	1
0.143	1	9	15	4	9	28	373	0	0	0
0.143	1	7	15	4	10	28	1836	0	0	0
0.143	1	2	15	4	3	26	1383	0	0	1
0.143	1	10	15	4	13	28	549	0	0	1
0.144	1	9	15	5	9	28	1287	0	0	0
0.144	1	7	15	5	10	28	935	0	0	0
0.144	1	6	15	5	4	28	935	0	0	1
0.144	1	9	15	5	9	28	185	0	0	1
0.144	1	10	15	5	13	28	1095	0	0	1
0.145	1	5	15	6	7	28	185	0	0	0
0.145	1	1	15	6	8	26	1692	0	0	0
0.145	1	6	15	6	4	26	1836	0	0	1
0.146	1	5	15	7	7	28	549	0	0	0
0.146	1	1	15	7	8	26	1383	0	0	0
0.146	1	2	15	7	3	22	1383	0	0	1
0.147	1	1	15	8	8	28	185	0	0	0
0.147	1	5	15	8	7	28	2052	0	0	0
0.147	1	2	15	8	3	22	1383	0	0	1
0.148	1	9	15	9	9	26	1383	0	0	0
0.148	1	7	15	9	10	28	549	0	0	0
0.148	1	8	15	9	2	22	1287	0	0	1
0.148	1	10	15	9	13	28	185	0	0	1
0.149	1	3	15	10	1	28	373	0	0	0
0.149	1	7	15	10	10	28	1836	0	0	0
0.149	1	6	15	10	4	28	749	0	0	1
0.149	1	4	15	10	14	26	1239	0	0	1
0.15	1	3	16	1	1	28	549	0	0	0
0.15	1	7	16	1	10	28	1692	0	0	0
0.15	1	10	16	1	13	28	2052	0	0	1
0.15	1	4	16	1	14	28	185	0	0	1
0.151	1	5	16	2	7	24	1191	0	0	0
0.151	1	9	16	2	9	28	549	0	0	0
0.151	1	10	16	2	13	28	373	0	0	1
0.151	1	4	16	2	14	28	1836	0	0	1
0.152	1	5	16	3	7	22	1143	0	0	0
0.152	1	9	16	3	9	28	373	0	0	0
0.152	1	6	16	3	4	26	1836	0	0	1
0.153	1	3	16	4	1	28	1095	0	0	0
0.153	1	9	16	4	9	28	1095	0	0	0
0.153	1	4	16	4	14	28	2196	0	0	1
0.154	1	3	16	5	1	28	185	0	0	0
0.154	1	1	16	5	8	28	1836	0	0	0
0.154	1	7	16	5	10	28	185	0	0	0
0.154	1	8	16	5	2	28	1836	0	0	1
0.154	1	2	16	5	3	28	373	0	0	1
0.155	1	3	16	6	1	26	1527	0	0	0
0.155	1	5	16	6	7	28	373	0	0	0
0.155	1	8	16	6	2	28	185	0	0	1
0.155	1	2	16	6	3	28	185	0	0	1
0.155	1	10	16	6	13	28	1836	0	0	1
0.156	1	3	16	7	1	26	1527	0	0	0
0.156	1	5	16	7	7	28	373	0	0	0
0.156	1	8	16	7	2	28	185	0	0	1
0.156	1	10	16	7	13	28	2052	0	0	1
0.157	1	1	16	8	8	28	1692	0	0	0
0.157	1	7	16	8	10	28	549	0	0	0
0.157	1	8	16	8	2	28	1836	0	0	1
0.157	1	4	16	8	14	28	373	0	0	1
0.158	1	5	16	9	7	28	749	0	0	0
0.158	1	7	16	9	10	24	1063	0	0	0
0.158	1	8	16	9	2	28	373	0	0	1
0.158	1	6	16	9	4	28	1836	0	0	1
0.159	1	5	16	10	7	28	373	0	0	0
0.159	1	1	16	10	8	28	185	0	0	0
0.159	1	9	16	10	9	28	1692	0	0	0
0.159	1	2	16	10	3	24	1479	0	0	1
0.159	1	9	16	10	9	28	185	0	0	1
0.16	1	1	17	1	8	28	373	0	0	0
0.16	1	9	17	1	9	28	1287	0	0	0
0.16	1	7	17	1	10	28	549	0	0	0
0.16	1	8	17	1	2	26	301	0	0	1
0.16	1	2	17	1	3	28	185	0	0	1
0.16	1	10	17	1	13	28	185	0	0	1
0.16	1	4	17	1	14	28	1479	0	0	1
0.161	1	1	17	2	8	26	1383	0	0	0
0.161	1	7	17	2	10	28	549	0	0	0
0.161	1	8	17	2	2	28	1836	0	0	1
0.161	1	10	17	2	13	28	373	0	0	1
0.162	1	7	17	3	10	28	2196	0	0	0
0.162	1	8	17	3	2	28	935	0	0	1
0.162	1	7	17	3	10	28	373	0	0	1
0.162	1	10	17	3	13	28	935	0	0	1
0.163	1	3	17	4	1	28	1095	0	0	0
0.163	1	5	17	4	7	28	373	0	0	0
0.163	1	1	17	4	8	28	749	0	0	0
0.163	1	8	17	4	2	28	935	0	0	1
0.163	1	10	17	4	13	24	935	0	0	1
0.164	1	1	17	5	8	28	1692	0	0	0
0.164	1	5	17	5	7	28	549	0	0	0
0.164	1	6	17	5	4	26	1527	0	0	1
0.164	1	4	17	5	14	28	373	0	0	1
0.165	1	5	17	6	7	28	2052	0	0	0
0.165	1	9	17	6	9	28	185	0	0	0
0.165	1	2	17	6	3	26	1836	0	0	1
0.166	1	5	17	7	7	28	2052	0	0	0
0.166	1	9	17	7	9	28	185	0	0	0
0.166	1	2	17	7	3	24	1479	0	0	1
0.166	1	6	17	7	4	28	185	0	0	1
0.167	1	3	17	8	1	28	2196	0	0	0
0.167	1	10	17	8	13	28	185	0	0	1
0.167	1	8	17	8	2	28	549	0	0	1
0.167	1	4	17	8	14	24	1063	0	0	1
0.168	1	3	17	9	1	28	2196	0	0	0
0.168	1	8	17	9	2	28	935	0	0	1
0.168	1	4	17	9	14	28	1287	0	0	1
0.169	1	9	17	10	9	28	2196	0	0	0
0.169	1	10	17	10	13	28	935	0	0	1
0.169	1	8	17	10	2	28	1287	0	0	1
0.17	1	5	18	1	7	28	185	0	0	0
0.17	1	7	18	1	10	28	2052	0	0	0
0.17	1	6	18	1	4	24	935	0	0	1
0.17	1	10	18	1	13	28	935	0	0	1
0.171	1	5	18	2	7	28	185	0	0	0
0.171	1	1	18	2	8	28	1836	0	0	0
0.171	1	9	18	2	9	28	185	0	0	0
0.171	1	2	18	2	3	28	749	0	0	1
0.171	1	6	18	2	4	26	1239	0	0	1
0.172	1	5	18	3	7	28	1095	0	0	0
0.172	1	1	18	3	8	28	935	0	0	0
0.172	1	9	18	3	9	28	185	0	0	0
0.172	1	2	18	3	3	18	967	0	0	1
0.173	1	5	18	4	7	26	301	0	0	0
0.173	1	1	18	4	8	28	185	0	0	0
0.173	1	9	18	4	9	26	1383	0	0	0
0.173	1	2	18	4	3	18	967	0	0	1
0.174	1	5	18	5	7	26	301	0	0	0
0.174	1	1	18	5	8	28	1692	0	0	0
0.174	1	7	18	5	10	28	185	0	0	0
0.174	1	6	18	5	4	28	2196	0	0	1
0.175	1	1	18	6	8	26	1692	0	0	0
0.175	1	7	18	6	10	28	185	0	0	0
0.175	1	6	18	6	4	28	2196	0	0	1
0.176	1	9	18	7	9	28	549	0	0	0
0.176	1	7	18	7	10	28	1692	0	0	0
0.176	1	8	18	7	2	28	185	0	0	1
0.176	1	2	18	7	3	28	2052	0	0	1
0.177	1	5	18	8	7	28	1095	0	0	0
0.177	1	7	18	8	10	26	903	0	0	0
0.177	1	8	18	8	2	28	1692	0	0	1
0.177	1	5	18	8	7	28	185	0	0	1
0.177	1	7	18	8	10	26	149	0	0	1
0.177	1	4	18	8	14	28	185	0	0	1
0.178	1	3	18	9	1	28	373	0	0	0
0.178	1	5	18	9	7	28	185	0	0	0
0.178	1	9	18	9	9	26	1383	0	0	0
0.178	1	10	18	9	13	28	373	0	0	1
0.178	1	4	18	9	14	28	1836	0	0	1
0.179	1	3	18	10	1	28	935	0	0	0
0.179	1	9	18	10	9	28	1287	0	0	0
0.179	1	10	18	10	13	26	1383	0	0	1
0.179	1	4	18	10	14	28	549	0	0	1
0.18	1	3	19	1	1	26	749	0	0	0
0.18	1	1	19	1	8	28	1095	0	0	0
0.18	1	7	19	1	10	28	185	0	0	0
0.18	1	10	19	1	13	26	453	0	0	1
0.18	1	4	19	1	14	28	1692	0	0	1
0.181	1	3	19	2	1	26	1383	0	0	0
0.181	1	7	19	2	10	28	549	0	0	0
0.181	1	10	19	2	13	20	903	0	0	1
0.181	1	4	19	2	14	28	549	0	0	1
0.182	1	3	19	3	1	28	1692	0	0	0
0.182	1	7	19	3	10	28	549	0	0	0
0.182	1	10	19	3	13	28	549	0	0	1
0.182	1	4	19	3	14	26	1383	0	0	1
0.183	1	5	19	4	7	28	549	0	0	0
